domain,requested_length,metric,baseline_generated_mean,candidate_generated_mean,real_mean,baseline_generated_over_real,candidate_generated_over_real,baseline_ratio_distance_from_one,candidate_ratio_distance_from_one,candidate_moves_closer_to_real_ratio,ratio_closeness_improvement,baseline_ci_low,baseline_ci_high,candidate_ci_low,candidate_ci_high
diversity,64,distance_map_rmse,0.6170191615174806,0.5442939649520059,0.7294407198683669,0.8458797880502563,0.7461798472811167,0.15412021194974368,0.25382015271888325,False,-0.09969994076913957,0.6012399032560205,0.6340197659027111,0.5341924101780026,0.5562398411174062
diversity,64,contact_hamming_distance,0.0668521825396825,0.0821205357142857,0.0851185515873016,0.785400847324285,0.9647783495241814,0.21459915267571505,0.0352216504758186,True,0.17937750219989645,0.0646450396825396,0.0689654017857142,0.0797507936507936,0.0846097594246031
diversity,64,contact_jaccard_distance,0.6294940051611716,0.6828236975059161,0.7594946373190657,0.828832718797354,0.8990500577018031,0.17116728120264602,0.10094994229819687,True,0.07021733890444914,0.6138578486105098,0.6426772770959985,0.6704921052545683,0.695263387647952
diversity,64,descriptor_distance,7.763692481776492,4.523131490318717,10.525977484215382,0.7375744906749824,0.4297113020716172,0.2624255093250176,0.5702886979283828,False,-0.30786318860336515,7.361005116435081,8.145897778667631,4.2991866778452055,4.788600706215274
diversity,128,distance_map_rmse,0.533874887381744,0.5768861501624293,0.6322622773976786,0.8443883281778471,0.9124158925577984,0.15561167182215285,0.08758410744220158,True,0.06802756437995128,0.5261678258538904,0.5430922643496913,0.5648997770186253,0.5902847177055125
diversity,128,contact_hamming_distance,0.0553897637795275,0.0458560531496062,0.0650063976377952,0.8520663471947795,0.7054083108113223,0.14793365280522053,0.29459168918867773,False,-0.1466580363834572,0.0542495970718503,0.0563324649360236,0.0447074864665354,0.0468553149606299
diversity,128,contact_jaccard_distance,0.8272509286148515,0.7447245490608632,0.8952332217941983,0.9240619186996896,0.8318776950304745,0.07593808130031043,0.16812230496952552,False,-0.09218422366921508,0.8171478520470192,0.8354570514772212,0.7344905908952034,0.7541342652860374
diversity,128,descriptor_distance,3.872023747241355,5.577987944527035,8.158387007142082,0.4746065299245643,0.6837121038317877,0.5253934700754357,0.3162878961682123,True,0.2091055739072234,3.6225972470218304,4.12984155566338,5.116550568759465,5.963726577192
diversity,256,distance_map_rmse,0.5161818986912826,0.5137060518966374,0.5488214904720499,0.9405278540519734,0.9360166480630904,0.05947214594802663,0.06398335193690963,False,-0.004511205988882994,0.5105479814950583,0.5215699431771205,0.5080099063365376,0.5194528849717372
diversity,256,contact_hamming_distance,0.0246580269607843,0.0243048406862745,0.0348865480077568,0.706806157929462,0.6966823051931215,0.293193842070538,0.30331769480687854,False,-0.010123852736340533,0.0242985125612745,0.0250091980698529,0.0239127198223039,0.02467953125
diversity,256,contact_jaccard_distance,0.7777180368557941,0.7800253041023086,0.8650482969442487,0.8990457984866909,0.9017130105425551,0.10095420151330914,0.09828698945744485,True,0.0026672120558642876,0.7716358912871369,0.7838337085015221,0.7730903197925586,0.7867089500349558
diversity,256,descriptor_distance,5.033007543678933,4.96988193831362,5.411224738267388,0.9301050662498348,0.9184393882529668,0.0698949337501652,0.08156061174703322,False,-0.011665677996868018,4.740551844050144,5.348691860874364,4.631210720172503,5.2639141134808805
diversity,384,distance_map_rmse,0.4652031615220474,0.4745744864297896,0.5532789635518128,0.8408112221286045,0.8577490157645353,0.15918877787139551,0.14225098423546467,True,0.016937793635930842,0.461484863240533,0.4694628320811011,0.469689005735024,0.4790230843388426
diversity,384,contact_hamming_distance,0.0151023308311575,0.0143248748912097,0.0254495872685015,0.5934214441995844,0.5628725817860073,0.4065785558004156,0.4371274182139927,False,-0.030548862413577127,0.0148645078600957,0.0153417197019147,0.0141513058229982,0.0144937228024369
diversity,384,contact_jaccard_distance,0.7176578083418115,0.7138738196989759,0.8841517087518893,0.8116908006148531,0.8074110049583167,0.1883091993851469,0.19258899504168325,False,-0.004279795656536356,0.7120723637811307,0.723835027119309,0.7098807160921697,0.7178922055357814
diversity,384,descriptor_distance,3.853017704050161,4.265990462561696,7.412381982192863,0.5198083036339005,0.5755222103785395,0.4801916963660995,0.42447778962146054,True,0.05571390674463894,3.654803428970664,4.036377008132573,4.0384960456164185,4.502075521106629
diversity,500,distance_map_rmse,0.4639407764616503,0.469927976307869,0.4449541356445454,1.0426710065063256,1.056126775015019,0.042671006506325604,0.05612677501501895,False,-0.013455768508693344,0.4571288838704895,0.4716130231171456,0.464196565738701,0.4767386264961275
diversity,500,contact_hamming_distance,0.0111226185704742,0.0108992919171676,0.017604637928196,0.6318004730253514,0.6191148015439215,0.36819952697464864,0.3808851984560785,False,-0.01268567148142985,0.0107128557114228,0.0115026432865731,0.0106821269205076,0.0110931903807615
diversity,500,contact_jaccard_distance,0.7134705944697327,0.7082455040094533,0.8052460353283853,0.8860280748588524,0.8795392624573749,0.11397192514114762,0.1204607375426251,False,-0.006488812401477473,0.703191709725394,0.7240623778734208,0.7014059706273934,0.714262856452548
diversity,500,descriptor_distance,5.148908939138907,4.636258716725561,2.801798520790025,1.8377156319174104,1.6547437948601216,0.8377156319174104,0.6547437948601216,True,0.1829718370572888,4.728024445095175,5.63872336473953,4.180108187610222,5.087320979596687
